id,name,province,district,subdistrict,aoi,longitude,latitude,elevation
A00132222,HomePro Rama 2,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,โฮมโปร พระราม 2,100.44237,13.663398,3
A00132273,HomePro Sukhapiban 3,กรุงเทพมหานคร,เขตบางกะปิ,แขวงหัวหมาก,โฮมโปร รามคำแหง,100.66045,13.769497,7
A00132649,Home Pro (Hua Hin),จ.ประจวบคีรีขันธ์,อ.หัวหิน,ต.หัวหิน,,99.96075,12.558405,7
A00253970,Home Pro Lopburi,จ.ลพบุรี,อ.เมืองลพบุรี,ต.ท่าศาลา,,100.683266,14.784131,27
A00291640,Home Pro,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,,100.64843,13.687688,22
A00303318,Home Pro,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,,100.64845,13.68805,19
A10000670,Home Pro (Lad Phrao),กรุงเทพมหานคร,เขตจตุจักร,แขวงจอมพล,ห้างบิ๊กซี เอ็กซ์ตร้า ลาดพร้าว,100.56828,13.809622,8
A10000784,Home Pro Changwattana Branch,จ.นนทบุรี,อ.ปากเกร็ด,ต.บางตลาด,ห้างบิ๊กซี เอ็กซ์ตร้า แจ้งวัฒนะ,100.51593,13.905302,2
A10001122,HOMEPRO VILLAGE SUVARNABHUMI,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,เทสโก้ โลตัส กิ่งแก้ว,100.71122,13.633058,6
A10006145,Home Pro,จ.ชลบุรี,อ.เมืองชลบุรี,ต.ห้วยกะปิ,บิ๊กซี ชลบุรี,100.95906,13.316073,7
A10011104,Homepro Rachapreuk,จ.นนทบุรี,อ.บางกรวย,ต.บางขุนกอง,โฮมโปรราชพฤกษ์,100.44765,13.819934,6
A10012638,HomePro,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,รถไฟฟ้ามหานครสายสีฟ้าอ่อน,100.71007,13.634327,7
A10014606,Home Pro Ratchadapisek,กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,ห้างบิ๊กซี เอ็กซ์ตร้า รัชดาภิเษก,100.57183,13.76899,3
A10016248,HomePro Pleonjit,กรุงเทพมหานคร,เขตปทุมวัน,แขวงลุมพินี,อาคารเวฟ เพลส,100.547966,13.744003,20
A10016411,HomePro Nakhon Si Thammarat,จ.นครศรีธรรมราช,อ.เมืองนครศรีธรรมราช,ต.ในเมือง,โฮมโปรนครศรีธรรมราช,99.97957,8.385562,2
A10027695,Homepro Pisanulok,จ.พิษณุโลก,อ.เมืองพิษณุโลก,ต.ในเมือง,,100.29791,16.819094,44
A10027859,HomePro ,จ.ระยอง,อ.เมืองระยอง,ต.เนินพระ,บิ๊กซี แหลมทอง,101.248474,12.684377,18
A10027944,HomePro Paechgaseam,กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองค้างพลู,โฮมโปร เพชรเกษม,100.36536,13.7088785,6
A10027968,Homepro Nakornphatom,จ.นครปฐม,อ.เมืองนครปฐม,ต.ห้วยจรเข้,โฮมโปร นครปฐม,100.074265,13.812421,3
A10027972,HomePro Nakhon Ratchasima (The Mall),จ.นครราชสีมา,อ.เมืองนครราชสีมา,ต.ในเมือง,เดอะมอลล์ โคราช,102.07618,14.979871,199
A10027989,Home Pro Lam Luk Ka,จ.ปทุมธานี,อ.ลำลูกกา,ต.บึงคำพร้อย,โฮมโปร ลำลูกกา,100.718796,13.934623,3
A10028044,Homepro Village,จ.ภูเก็ต,อ.เมืองภูเก็ต,ต.ฉลอง,มาร์เก็ตวิลเลจ ภูเก็ต,98.34006,7.8252096,11
A10039153,HomePro Buri Ram,จ.บุรีรัมย์,อ.เมืองบุรีรัมย์,ต.อิสาณ,โฮมโปรบุรีรัมย์,103.08081,14.982977,152
A10039164,Home Pro (Meka bangna),จ.สมุทรปราการ,อ.บางพลี,ต.บางแก้ว,เมกาบางนา,100.68024,13.643964,1
A10039169,Home Pro (Head office),จ.นนทบุรี,อ.เมืองนนทบุรี,ต.บางเขน,โฮมโปรประชาชื่น,100.54415,13.853469,2
A10039171,Home Pro (Sakon Nakon),จ.สกลนคร,อ.เมืองสกลนคร,ต.ธาตุเชิงชุม,โฮมโปรสกลนคร,104.13719,17.17087,159
A10039173,Home Pro (Krabi),จ.กระบี่,อ.เมืองกระบี่,ต.กระบี่น้อย,,98.928024,8.112622,8
A10039174,Home Pro (Chachoengsao),จ.ฉะเชิงเทรา,อ.เมืองฉะเชิงเทรา,ต.หน้าเมือง,โฮมโปรฉะเชิงเทรา,101.05415,13.68198,6
A10039176,Home Pro (Chonburi),จ.ชลบุรี,อ.เมืองชลบุรี,ต.ห้วยกะปิ,บิ๊กซี ชลบุรี,100.95991,13.316454,6
A10039190,Home Pro (Prachachuen),จ.นนทบุรี,อ.เมืองนนทบุรี,ต.บางเขน,โฮมโปรประชาชื่น,100.544075,13.853417,2
A10039192,Home Pro (Pattaya),จ.ชลบุรี,อ.บางละมุง,ต.หนองปรือ,ห้างบิ๊กซี เอ็กซ์ตร้า พัทยากลาง,100.89441,12.934529,13
A10039194,Home Pro (Paradise Park),กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,พาราไดร์พาร์ค ศรีนครินทร์,100.647285,13.6870985,11
A10039196,Home Pro (Future Mart Rama3),กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางโคล่,ทรีออนธรี,100.50445,13.690663,2
A10039201,Home Pro (Phuket),จ.ภูเก็ต,อ.เมืองภูเก็ต,ต.รัษฎา,เทสโก้ โลตัส เอ็กซ์ตร้า สาขาภูเก็ต,98.36903,7.9036493,16
A10039204,"Home Pro (Phuket, Chalong)",จ.ภูเก็ต,อ.เมืองภูเก็ต,ต.ฉลอง,มาร์เก็ตวิลเลจ ภูเก็ต,98.339386,7.824657,16
A10039208,Home Pro (Roi Et),จ.ร้อยเอ็ด,อ.เมืองร้อยเอ็ด,ต.ดงลาน,โฮมโปรร้อยเอ็ด,103.62016,16.062275,146
A10039213,Home Pro (Future Park Rangsit),จ.ปทุมธานี,อ.ธัญบุรี,ต.ประชาธิปัตย์,โฮมโปร รังสิต,100.61667,13.992467,11
A10039228,Home Pro (Rattanathibet),จ.นนทบุรี,อ.บางใหญ่,ต.เสาธงหิน,ห้างบิ๊กซี รัตนาธิเบศร์,100.410614,13.879584,8
A10039239,Home Pro (Lop Buri),จ.ลพบุรี,อ.เมืองลพบุรี,ต.ท่าศาลา,,100.683266,14.784131,27
A10039245,Home Pro (Samui),จ.สุราษฎร์ธานี,อ.เกาะสมุย,ต.บ่อผุด,โลตัส สาขาสมุย,100.04163,9.533484,26
A10039249,Home Pro (Suphanburi),จ.สุพรรณบุรี,อ.เมืองสุพรรณบุรี,ต.รั้วใหญ่,โฮมโปร สุพรรณบุรี,100.10513,14.474777,7
A10039254,Home Pro Suratthani,จ.สุราษฎร์ธานี,อ.เมืองสุราษฎร์ธานี,ต.มะขามเตี้ย,โลตัส สุราษฏร์ธานี,99.306694,9.103773,6
A10039258,Home Pro (Suwannabhumi),จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,เทสโก้ โลตัส กิ่งแก้ว,100.710915,13.632779,2
A10039263,Home Pro (Hat Yai),จ.สงขลา,อ.หาดใหญ่,ต.หาดใหญ่,,100.4854,7.0194316,7
A10039266,Home Pro (Ayutthaya),จ.พระนครศรีอยุธยา,อ.บางปะอิน,ต.บ้านกรด,บิ๊กซี อยุธยา,100.61163,14.31899,3
A10039270,Home Pro (khao Yai),จ.นครราชสีมา,อ.ปากช่อง,ต.หนองน้ำแดง,โฮมโปร นครราชสีมา 3,101.394684,14.659658,320
A10039271,Home Pro (Chiang Mai),จ.เชียงใหม่,อ.เมืองเชียงใหม่,ต.หนองป่าครั่ง,ห้างสรรพสินค้าบิ๊กซี เอ็กซ์ตร้า เชียงใหม่,99.02178,18.798357,307
A10039272,Home Pro (Chiang Mai Hangdong),จ.เชียงใหม่,อ.เมืองเชียงใหม่,ต.แม่เหียะ,บิ๊กซี หางดง,98.96314,18.742487,303
A10039274,Home Pro (The mall Bang Khae),กรุงเทพมหานคร,เขตบางแค,แขวงบางแคเหนือ,ห้างสรรพสินค้าเดอะมอลล์ บางแค,100.40787,13.713408,26
A10039296,Home Pro (Ekamai-Ramintra),กรุงเทพมหานคร,เขตลาดพร้าว,แขวงลาดพร้าว,โฮมโปร เอกมัยรามอินทรา,100.61303,13.799308,3
A10039303,Home Pro (Fashion Iceland),กรุงเทพมหานคร,เขตคันนายาว,แขวงคันนายาว,แฟชั่นไอร์แลนด์ รามอินทรา,100.678085,13.824994,20
A10039760,HomePro Rama 3,กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางโคล่,โฮมโปรฟิวเจอร์มาร์ท พระราม3,100.51866,13.687181,6
A10041416,HOMEPRO CHACHOENGSAO,จ.ฉะเชิงเทรา,อ.เมืองฉะเชิงเทรา,ต.หน้าเมือง,โฮมโปรฉะเชิงเทรา,101.05334,13.682374,5
A10043131,Home Pro (Nakhon Ratchsima),จ.นครราชสีมา,อ.เมืองนครราชสีมา,ต.ในเมือง,โฮมโปร นครราชสีมา 1,102.0525,14.978057,185
A10051843,HomePro (สาขาพาราไดซ์ พาร์ค),กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,,100.64704,13.687796,10
A10053812,Home Pro the distribution center,จ.พระนครศรีอยุธยา,อ.วังน้อย,ต.ลำไทร,,100.642044,14.193059,3
A10054080,Homepro Sukhapiban 3,กรุงเทพมหานคร,เขตมีนบุรี,แขวงมีนบุรี,โฮมโปร สุขาภิบาล 3,100.725845,13.806594,-1
A10055850,Home Pro,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,โฮมโปร พระราม 2,100.44295,13.662976,5
A10064458,HomePro Ubon Ratchathani,จ.อุบลราชธานี,อ.เมืองอุบลราชธานี,ต.แจระแม,,104.823784,15.243025,113
A10067808,homepro,จ.ชุมพร,อ.เมืองชุมพร,ต.วังไผ่,โฮมโปรชุมพร,99.1451,10.50199,8
A10070325,HomePro Rayong,จ.ระยอง,อ.เมืองระยอง,ต.เนินพระ,โฮมโปรระยอง,101.24441,12.68354,4
A10070602,Home Pro Ratchaburi ,จ.ราชบุรี,อ.เมืองราชบุรี,ต.หน้าเมือง,,99.79887,13.53805,11
A10090693,HomePro  Phetchabun Branch,จ.เพชรบูรณ์,อ.เมืองเพชรบูรณ์,ต.ชอนไพร,โฮมโปร เพชรบูรณ์,101.12553,16.38491,122
A10091031,HomePro Pranchinburi ,จ.ปราจีนบุรี,อ.เมืองปราจีนบุรี,ต.บางบริบูรณ์,โฮมโปรปราจีนบุรี,101.38946,14.057969,2
A10093010,Homepro Chaiyaphum,จ.ชัยภูมิ,อ.เมืองชัยภูมิ,ต.หนองนาแซง,,102.024956,15.75551,182
A10095847,Home Pro Chanthaburi Branch,จ.จันทบุรี,อ.เมืองจันทบุรี,ต.พลับพลา,แม็คโคร สาขาจันทบุรี,102.14296,12.616602,8
A10096069,HomePro,จ.กาญจนบุรี,อ.ท่าม่วง,ต.ท่าล้อ,,99.56039,13.9946575,29
A10098519,HomePro ,จ.ตาก,อ.แม่สอด,ต.ท่าสายลวด,,98.5447,16.705465,208
A10098829,Home Pro Saraburi,จ.สระบุรี,อ.เมืองสระบุรี,ต.ตะกุด,โฮมโปร สาขาสระบุรี,100.9465,14.5353365,19
A10100849,HomeporPhrae,จ.แพร่,อ.เมืองแพร่,ต.ป่าแมต,โฮมโปรแพร่,100.139084,18.119415,156
A10104448,kwan nanta Home,จ.ฉะเชิงเทรา,อ.พนมสารคาม,ต.เกาะขนุน,,101.39122,13.685648,11
A10104903,Home Pro  Phutthamonthon Sai 5,จ.นครปฐม,อ.สามพราน,ต.บางเตย,โฮมโปร พุทธมณฑลสาย5,100.28974,13.787478,2
A10104911,Home Pro Chiang Rai,จ.เชียงราย,อ.เมืองเชียงราย,ต.ท่าสาย,โฮมโปร เชียงราย,99.83991,19.864416,397
A10107460,HomePro Loei,จ.เลย,อ.เมืองเลย,ต.นาอาน,โฮมโปร เมืองเลย,101.725555,17.470257,241
A10115781,HomePro (Trang),จ.ตรัง,อ.เมืองตรัง,ต.บ้านควน,โฮมโปรตรัง,99.62247,7.533576,9
A10118466,Homepro Mahachai,จ.สมุทรสาคร,อ.เมืองสมุทรสาคร,ต.ท่าทราย,โฮมโปร มหาชัย,100.28115,13.564968,-1
A10121618,HOMEPRO AMATANAKORN,จ.ชลบุรี,อ.เมืองชลบุรี,ต.นาป่า,โฮมโปร อมตะนคร,101.03379,13.403048,8
A10124615,HomePro Siracha,จ.ชลบุรี,อ.ศรีราชา,ต.หนองขาม,โฮมโปรศรีราชา,100.98639,13.139453,51
A10132703,HomePro  Surat Thani,จ.สุราษฎร์ธานี,อ.เมืองสุราษฎร์ธานี,ต.วัดประดู่,โฮมโปร สุราษฎร์ธานี 2,99.29931,9.116957,4
A10141015,Homepro North Pattaya,จ.ชลบุรี,อ.บางละมุง,ต.หนองปรือ,โฮมโปร พัทยาเหนือ,100.90215,12.940857,25
A10144066,Home Pro Nakhon Sawan,จ.นครสวรรค์,อ.เมืองนครสวรรค์,ต.บางม่วง,โฮมโปร นครสวรรค์,100.118935,15.73853,30
A10144295,HomePro (San Sai),จ.เชียงใหม่,อ.สันทราย,ต.สันทรายน้อย,โฮมโปร สาขาเชียงใหม่ สันทราย,99.03701,18.83486,310
A10147736,Home Pro Hat Yai (Kanchanawanit),จ.สงขลา,อ.หาดใหญ่,ต.คอหงส์,,100.48123,6.9829607,11
A10147978,HomePro Srinakarin,จ.สมุทรปราการ,อ.เมืองสมุทรปราการ,ต.บางเมือง,,100.62345,13.619595,5
A10149712,Home Pro Prachuap Khiri Khan,จ.ประจวบคีรีขันธ์,อ.เมืองประจวบคีรีขันธ์,ต.ประจวบคีรีขันธ์,โฮมโปร ประจวบคีรีขันธ์ 1,99.77538,11.792006,8
A10151782,Home Pro Samut Songkhram,จ.สมุทรสงคราม,อ.เมืองสมุทรสงคราม,ต.บางแก้ว,โฮมโปรสมุทรสงคราม,100.02315,13.411902,4
A10159067,Home Pro Phetchaburi,จ.เพชรบุรี,อ.เมืองเพชรบุรี,ต.บ้านหม้อ,โฮมโปรเพชรบุรี,99.93909,13.097681,6
A10161971,HomePro Thalang,จ.ภูเก็ต,อ.ถลาง,ต.ศรีสุนทร,โฮมโปร ถลาง,98.33944,8.015563,10
A10163321,HomePro Gateway Ekamai,กรุงเทพมหานคร,เขตคลองเตย,แขวงพระโขนง,เกตเวย์ เอกมัย,100.585365,13.7188015,9
A10163328,HomePro Paradise Park ,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,พาราไดร์พาร์ค ศรีนครินทร์,100.64732,13.686586,10
A10163332,Homepro Mega Bangna,จ.สมุทรปราการ,อ.บางพลี,ต.บางแก้ว,เมกาบางนา,100.67885,13.645923,-3
A10163337,Home pro Rama 9 ,กรุงเทพมหานคร,เขตสวนหลวง,แขวงสวนหลวง,โฮมโปร พระราม 9,100.61404,13.74254,7
A10165692,Home Pro Chaiyaphruek,จ.นนทบุรี,อ.ปากเกร็ด,ต.อ้อมเกร็ด,,100.452774,13.916799,5
A10178875,Home Pro Khon Kaen,จ.ขอนแก่น,อ.เมืองขอนแก่น,ต.ในเมือง,โฮมโปร ขอนแก่น,102.81757,16.40912,166
A10314968,Home Pro,จ.ชลบุรี,อ.สัตหีบ,ต.นาจอมเทียน,,100.91234,12.777518,36
A10355659,HomePro Bang Phli,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,เทสโก้ โลตัส กิ่งแก้ว,100.71119,13.632966,6
A10360283,HomePro Kallapraphruk,กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางหว้า,,100.43663,13.694364,5
A10374564,HomePro Charan Sanitwong,กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,,100.47063,13.743787,6
A10386917,Homepro Bangyai Branch,จ.นนทบุรี,อ.บางใหญ่,ต.เสาธงหิน,ห้างสรรพสินค้าบิ๊กซี รัตนาธิเบศร์,100.41006,13.879979,7
A10504984,Homepro Phatthalung,จ.พัทลุง,อ.เมืองพัทลุง,ต.เขาเจียก,,100.05173,7.617529,7
A10512218,HomePro Rangsit Klong Si,จ.ปทุมธานี,อ.ธัญบุรี,ต.บึงยี่โถ,,100.68486,14.000693,3
A10543390,Home Pro Surin Branch,จ.สุรินทร์,อ.เมืองสุรินทร์,ต.นอกเมือง,โฮมโปร สาขาสุรินทร์,103.52005,14.877922,144
A10577219,Home Pro ,จ.นครราชสีมา,อ.เมืองนครราชสีมา,ต.หนองบัวศาลา,โฮมโปรสาขาหัวทะเลโคราช,102.12502,14.948785,193
A10027904,HomePro U Don Ta Ni,จ.อุดรธานี,อ.เมืองอุดรธานี,ต.หนองบัว,โฮมโปรอุดรธานี,102.8131,17.420158,173